file_year,codigo_contrato,num_contrato,titulo_contrato,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,institucion,nombre_uc,orden_gobierno,estado_comprador,tipo_procedimiento,importe,moneda_efectiva,direccion_anuncio
2023,C-2023-00011760,2023-B05-B28-RM-25-RF-AD-A-OR-0002,"CONSTRUCCIÓN DE LA SOBREELEVACIÓN DE LA PRESA DERIVADORA ""SIQUEROS"" (CONCLUSIÓN",FERROCLIN U&Q SA DE CV,FUQ140426I3A,Definitivo,2026-03-13,2023-03-25,False,COMISION NACIONAL DEL AGUA,GERENCIA DE RECURSOS MATERIALES,APF,,ADJUDICACIÓN DIRECTA POR LICITACIONES PÚBLICAS DESIERTAS,156682639.21,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1d4f2cef285d43d582e7795709afc0aa/procedimiento
2024,C-2024-00120563,C4M0149,TRABAJOS DE PROYECTOS ESTRATEGICOS 2024 .ZACATEPEC,CONSTRUCTORA BARLE SA DE CV,CBA220225AL7,Definitivo,2025-12-12,2024-05-24,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPTO. CONSTRUCCION DELEGACION MORELOS,APF,,LICITACIÓN PÚBLICA,8822384.47,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2121d7734368458cba56046e727b9d26/procedimiento
2023,C-2023-00038075,2023-20-CF-A-091-W-00-2023,"CONSERVACION DEL CAMINO: E.C. (SAN JUAN OTZOLOTEPEC - JALTEPEC) - EL ARCO, DEL K",SERVICIOS DE INGENIERIA Y DE CONSTRUCCION BAUMAR SA DE CV,SIC1505128V4,Definitivo,2026-03-26,2023-05-22,False,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES","RESIDENCIA GENERAL DE CARRETERAS ALIMENTADORAS, SUBDIRECCIÓN DE OBRAS",APF,,LICITACIÓN PÚBLICA,7335831.7,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2eeace8d79dc4ba38d688650d78e86ce/procedimiento
2023,C-2024-00019634,IO-63-O65-904012996-N-9-2023,"MANTENIMIENTO DEL CAMINO (CD. DEL SOL - LA JOYA), CHAMPOTON",CONSTRUAGREGADOS HOPELCHEN SA DE CV,CHO170605TF6,Definitivo,2026-02-20,2023-08-11,False,SECRETARÍA DE DESARROLLO URBANO Y OBRAS PÚBLICAS,SUBSECRETARIA DE CONTROL DE OBRA,GEM,CAMPECHE,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,4008860.86,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/f4171543df614ccda03ed2a14aa448d7/procedimiento
2023,C-2023-00063532,CO-K0541-057F/2023,"K0541.- RECONSTRUCCIÓN DE PAVIMENTO ASFÁLTICO, GUARNICIONES Y BANQUETAS",COMERCIO Y CONSTRUCCION DE TABASCO SA DE CV,CCT1808139U3,Definitivo,2025-12-12,2023-07-05,False,CENTRO,"DIRECCION DE OBRAS, ORDENAMIENTO TERRITORIAL Y SERVICIOS MUNICIPALES",GEM,TABASCO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,2563638.71,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/297daed9853d4130a3ebe0166bdb0ab1/procedimiento
2023,C-2023-00086505,CAED-PROAGUA-LOC-RURALES-037-23,CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE CARDOS,COMERCIALIZADORA ELISMAR SA DE CV,CEL190713FC1,Definitivo,2026-03-13,2023-07-14,False,COMISIÓN DEL AGUA DEL ESTADO DE DURANGO,SUBDIRECCIÓN DE ADMINISTRACIÓN Y FINANZAS,GEM,DURANGO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,1814247.1,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/696e6ad71d6345d6924f291568a3fee0/procedimiento
2023,C-2023-00128313,DAF-004-SERV-2023,"SERVICIO DE PRESTACIÓN DE SERVICIOS PARA LA REVISIÓN, EVALUACIÓN Y ANALISIS DEL",PORTARE SERVICIOS Y SOLUCIONES SA DE CV,PSS1808234H4,Definitivo,2026-04-24,2023-10-13,False,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,DIRECCION DE ADMINISTRACION Y FINANZAS,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,1810344.83,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/fde7464abfcb4b4ab8ce3bea4685ecdc/procedimiento
2023,C-2024-00046058,RES/SA/IO/0106/2023,MANTENIMIENTO A LA CLÍNICA HOSPITAL MAZATLÁN,FERRECONSTRUCCIONES Y EDIFICACIONES TROYA SA DE CV,FET210608230,Definitivo,2026-04-30,2023-10-21,False,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,DEPARTAMENTO DE ADQUISICIONES EN SINALOA,APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR CASO FORTUITO O FUERZA MAYOR,1487533.14,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/e272a44a8dc24ab4ad8d46c4d4964776/procedimiento
2023,C-2023-00015054,CONT-I0108-007/2023,"I0108.- CONSTRUCCIÓN DE PAVIMENTO EN EL MUNICIPIO DE MACUSPANA, EN LA VILLA TEPE",CONSTRUAGREGADOS HOPELCHEN SA DE CV,CHO170605TF6,Definitivo,2026-02-20,2023-04-01,False,MACUSPANA,PRESIDENCIA MUNICIPAL DE MACUSPANA,GEM,TABASCO,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,1250458.69,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/004bebd67ea940cc9e225ebdb8210b02/procedimiento
2024,C-2024-00120560,C4M0148,TRABAJOS DE PROYECTOS ESTRATEGICOS 2024 .ZACATEPEC,CONSTRUCTORA BARLE SA DE CV,CBA220225AL7,Definitivo,2025-12-12,2024-05-24,False,INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPTO. CONSTRUCCION DELEGACION MORELOS,APF,,LICITACIÓN PÚBLICA,1150507.84,MXN,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2121d7734368458cba56046e727b9d26/procedimiento
