match_method,proveedor,nombre_69b,rfc_69b,situacion,definitivo_dof,inicio_contrato,iniciado_despues_definitivo,titulo_contrato,descripcion_contrato,importe_num,moneda,codigo_contrato,codigo_expediente
name_match,Distribuidora Universal Tobosa S.A. de C.V.,"DISTRIBUIDORA UNIVERSAL TOBOSA, S.A. DE C.V.",DUT100826KF4,Definitivo,2017-03-14,2017-05-16,True,"Adquisicion de Papeleria y Articulos de Oficina, Consumibles de Computo y Articu","Adquisicion de Papeleria y Articulos de Oficina, Consumibles de Computo y Articulos de Aseo y Limpieza Para Diversas Dependencias delGobierno delEstado de Coahuila de Zaragoza",2048157.87,MXN,1430580,1351836
name_match,"Covisa Comercializadora, S.A. de C.V.",COVISA COMERCIALIZADORA S.A. DE C.V.,CCO101201DV2,Definitivo,2015-06-26,2015-10-01,True,Servicio de Difusión a Través de 39 Espacios Publicitarios En Carteleras Ubicada,Servicio de Difusión a Través de 39 Espacios Publicitarios En Carteleras Ubicadas En Las Principales Vías de Comunicación de 18 Estados de la República Mexicana,1287816.09,MXN,1055684,1046291
name_match,"Distribuidora Universal Tobosa, S.A. de C.V.","DISTRIBUIDORA UNIVERSAL TOBOSA, S.A. DE C.V.",DUT100826KF4,Definitivo,2017-03-14,2017-09-05,True,E75-2017.- Servicio de Transportacion E Instalacion de Bienes Para Centros Educa,Aa-905025992-E75-2017.- Servicio de Transportacion de Bienes Muebles y Servicio de Instalacion Para Centros Educativos delEstado de Coahuila de Zaragoza,181034.48,MXN,1561263,1465408
name_match,"Grupo Constructor-Arrendador y de Servicios Profesionales Alex, S.A. de C.V.","GRUPO CONSTRUCTOR-ARRENDADOR Y DE SERVICIOS PROFESIONALES ALEX, S.A. DE C.V.",GCS1112203G6,Definitivo,2018-11-22,2016-08-03,False,Construccion de Caminos,"Construcción delLibramiento Sur Federal de Tuxtla Gutiérrez, Construcción delSubtramo: Km 18+500 Al Km 20+300 En Tuxtla Gutiérrez, Chiapas.",34894264.77,MXN,1149490,1100467
name_match,"Comercializadora Integral de Productos de Calidad, S.A. de C.V.","COMERCIALIZADORA INTEGRAL DE PRODUCTOS DE CALIDAD, S.A. DE C.V.",CIP050715F83,Definitivo,2018-03-13,2012-09-22,False,Adquisición  de Maquinaria y Equipo Agropecuario E Industrial y Otro Mobiliario,Adquisición de Maquinaria y Equipo Agropecuario E Industrial y Otro Mobiliario,33438986.0,MXN,201768,213734
name_match,"Diseño y Construcción de Plantas Farmacéuticas, S.A. de C.V.","DISEÑO Y CONSTRUCCIÓN DE PLANTAS FARMACEUTICAS, S.A. DE C. V.",DCP1102113R1,Definitivo,2018-11-13,2015-07-17,False,"84, Sdi, Mantenimiento y Adecuaciones En el I.N.V.",Servicio de Mantenimiento Para el Instituto Nacional de Virología,27402069.27,MXN,1002639,839742
name_match,"Credimosa, S.A. de C.V.","CREDIMOSA, S.A. DE C.V.",CRE090904KA3,Definitivo,,2014-08-08,False,Adquisicion de Llantas Para Todo Tipo de Unidades Terrestres,Sin Dato,26465517.24,MXN,757291,829882
name_match,"Global Tourist Agency, S.A. de C.V.","GLOBAL TOURIST AGENCY, S.A DE C.V. ",GTA140724H10,Definitivo,2019-11-08,2016-04-27,False,Servicio de Transporte de Personas En Autobuses y de Traslado de Maquinaria,Servicio de Transporte de Personas En Autobuses y de Traslado de Maquinaria y Equipo En Camionetas de Redilas Para el Programa de Empleo Temporal (Pet) 2016,19027584.0,MXN,1113805,1029560
name_match,"Cuceju, S.A. de C.V.","CUCEJU, S.A. DE C.V.",CUC141112NE4,Definitivo,2019-01-13,2017-09-28,False,E4_Adquisición de Uniformes,"E4_Adquisición de Uniformes Para Los Municipios de Tepoztlan, Cuautla, Cuernavaca, Emiliano Zapata, Jiutepec, Jojutla, Temixco, Xochitepec y Yautepec, Referente Al Recurso Fortaseg y Fasp 2017.",16128243.0,MXN,1584553,1462606
name_match,Grupo Constructor Conhir S.A. de C.V.,"GRUPO CONSTRUCTOR CONHIR, S.A. DE C.V.",GCC0108201V9,Definitivo,2019-03-19,2015-06-10,False,"68, La, Mantto, Conservación E Instalaciones de Oficinas Corporativas de Birmex","Mantenimiento, Conservación E Instalaciones de Oficinas Corporativas de Birmex",15858875.28,MXN,977574,817384
name_match,"Vanguardia Desarrollos Constructivos, S.A. de C.V.","VANGUARDIA DESARROLLOS CONSTRUCTIVOS, S.A. DE C.V.",VDC080929413,Definitivo,2019-01-14,2012-12-15,False,"Remozamiento, Imagen Urbana y Reestauración de Fachadas En Plaza Morelos Mty","Remozamiento, Imagen Urbana y Restauración de Fachadas de la Plaza Morelos En el Centro Histórico de Monterrey Nuevo León.",15828353.59,MXN,267989,305177
name_match,"Talentos Naturales, S.A. de C.V.","TALENTOS NATURALES, S.A. DE C.V. ",TNA080626MU7,Definitivo,2019-02-20,2011-11-09,False,Servicios de Contratación y Administración de Personal Para el Proyecto de Moder,Sin Dato,14727587.0,MXN,717668,83345
name_match,"Comercializadora Comerprod, S.A. de C.V.","COMERCIALIZADORA COMERPROD, S.A. DE C.V.",CCO110530D54,Definitivo,2017-03-14,2012-03-13,False,Contratación delServicio Subrogado de Alimentos y Bebidas Para la Red Hospitala,Sin Dato,14317762.34,MXN,1997447,138438
name_match,"Servicio y Asesoría Profesional Ejecutiva Sape, S.A. de C.V.",SERVICIO Y ASESORIA PROFESIONAL EJECUTIVA SAPE S.A. DE C.V.,SAP100119V53,Definitivo,2018-02-26,2012-04-23,False,Servicio Integral,Talleres Interactivos Generación Positiva,13418000.0,MXN,158473,231773
name_match,"Servicio y Asesoría Profesional Ejecutiva Sape, S.A. de C.V.",SERVICIO Y ASESORIA PROFESIONAL EJECUTIVA SAPE S.A. DE C.V.,SAP100119V53,Definitivo,2018-02-26,2011-09-30,False,Servicio Integral,Servicio Integral,11695950.0,MXN,73688,121000
name_match,Constructora Padami S.A. de C.V.,"CONSTRUCTORA PADAMI, S.A. DE C.V. ",CPA070216BC1,Definitivo,2018-05-21,2015-08-03,False,Proyecto y Construcción de 84 Bahías,Proyecto y Construcción de Las 84 Bahías Donde Se Ubican Las Torres de Auxilio Vial,10697596.77,MXN,796903,832612
name_match,"Ts Ingenieria, S.A. de C.V.","TS INGENIERIA, S.A. DE C.V.",TIN020408176,Definitivo,2021-08-19,2013-06-11,False,Contratación delServicio de Mantenimiento Preventivo-Correctivo Mediante...,"Contratación delServicio de Mantenimiento Preventivo-Correctivo Mediante Cambio de Componentes a Sistemas Modulares Integrales de Bombeo, Filtrado, Medición y Seguridad Instalados En Unidades de Servicio de Suministro de Combustible de Aviación",9500000.0,MXN,354782,386002
name_match,"Sistemas Integrales de Servicios y Trámites Globales, S.A. de C.V","SISTEMAS INTEGRALES DE SERVICIOS Y TRAMITES GLOBALES, S.A. DE C.V.",SIS090122ES5,Definitivo,2026-04-30,2017-09-08,False,Primer Etapa de Evaluación de Daños En Vivienda En el Estado de Oaxaca,"Primer Etapa de Evaluación de Daños En Vivienda En el Estado de Oaxaca Por la Declaratoria Desastre Natural Por Ocurrencia delSismo Con Magnitud 8.2 el 7 de Septiembre de 2017, En 283 Municipios delEstado de Oaxaca Consistente En el Diagnóstico de Viviendas Afectadas.",9427404.31,MXN,1835785,1718877
