institucion,proveedor,monto_directas_mxn_m,n_directas,pct_del_gasto_directo
"BANCO DEL BIENESTAR S.N.C., I.B.D.",TRIARA.COM SA DE CV,4449.9,1,74.0
SECRETARIA DE BIENESTAR,INTEGRA ARRENDA SA DE CV SOFOM ENR,3641.6,1,70.1
"FONATUR TREN MAYA, S.A. DE C.V.",OPERADORA CICSA SA DE CV,3352.3,1,85.7
"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",ALMACENAJE Y DISTRIBUCION AVIOR SA DE CV,2820.7,3,53.7
"NACIONAL FINANCIERA, S.N.C.",PROVEEDORA DE SERVICIOS EMPRESARIALES Y SOLUCIONES OPTIMAS SA DE,1339.0,1,62.4
"FERROCARRIL DEL ISTMO DE TEHUANTEPEC, S.A. DE C.V.",DLG INDUSTRIAS SA DE CV,1288.8,4,63.0
SERVICIO DE ADMINISTRACION TRIBUTARIA,IBM DE MEXICO COMERCIALIZACION Y SERVICIOS S DE RL DE CV,1199.0,1,80.8
"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",PROVEEDORA DE SERVICIOS EMPRESARIALES Y SOLUCIONES OPTIMAS SA DE,790.4,1,60.2
PATRONATO DE OBRAS E INSTALACIONES DEL INSTITUTO POLITECNICO NACIONAL,PYCSUR SA DE CV,724.1,1,97.5
CENTRO NACIONAL DE CONTROL DEL GAS NATURAL,EPSILON.NET SA DE CV,709.3,1,58.6
"BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS, S.N.C.",COBRO ELECTRONICO DE PEAJE SA DE CV,548.4,2,65.8
COMISION NACIONAL DE CULTURA FISICA Y DEPORTE,ADMINISTRACIONES KASAI SA DE CV,527.7,2,73.0
TRIBUNAL FEDERAL DE JUSTICIA ADMINISTRATIVA,METLIFE MEXICO SA DE CV,397.1,1,68.9
"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",SCONTINUIDAD LATAM SA DE CV,318.7,2,57.3
INSTITUTO NACIONAL PARA LA EDUCACION DE LOS ADULTOS,INTEGRA ARRENDA SA DE CV SOFOM ENR,162.4,1,68.2
"ADMINISTRACIÓN DEL SISTEMA PORTUARIO NACIONAL COATZACOALCOS, S.A. DE C.V.",MEXICANA DE DRAGADOS SA DE CV,155.0,1,77.0
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,CONTROL ELECTRICO Y ELECTRONICO INDUSTRIAL JFA SA DE CV,100.0,5,74.2
COMISIÓN NACIONAL DE SALUD MENTAL Y ADICCIONES,PSICOFARMA SA DE CV,71.5,4,54.8
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TUXPAN, S.A. DE C.V.",DRAGADOS DEL GOLFO SA DE CV,66.9,1,50.7
"SECRETARÍA DE CIENCIA, HUMANIDADES, TECNOLOGÍA E INNOVACIÓN",IMAGO CENTRO DE INTELIGENCIA DE NEGOCIOS SA DE CV,49.9,1,60.8
