institucion,contratos,pct_directas_n,monto_mxn_millones,pct_directas_monto
INSTITUTO DE SALUD DEL ESTADO DE MÉXICO,122,97.5,3423.0,99.8
INSTITUTO DE SALUD PUBLICA DEL ESTADO DE GUANAJUATO,546,99.1,1510.7,99.7
"IMPRESORA Y ENCUADERNADORA PROGRESO, S.A. DE C.V.",1509,97.4,1505.5,98.5
TALLERES GRAFICOS DE MEXICO,979,98.3,2482.1,98.4
XE-IPN CANAL 11,8159,99.1,799.8,93.5
"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",237,62.0,5769.9,91.0
"FONATUR INFRAESTRUCTURA, S.A. DE C.V.",380,87.9,398.8,89.6
"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",381,94.5,1549.9,84.8
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,494,92.1,160.4,84.1
FONDO NACIONAL DE FOMENTO AL TURISMO,285,47.0,8132.1,82.9
"INSTITUTO DE INVESTIGACIONES ""DR. JOSE MARIA LUIS MORA""",529,94.3,108.7,82.0
"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",481,91.5,147.0,81.9
SISTEMA PUBLICO DE RADIODIFUSION DEL ESTADO MEXICANO,1692,95.6,726.3,81.5
"ESTUDIOS CHURUBUSCO AZTECA, S.A.",256,94.1,218.5,81.0
SECRETARÍA ANTICORRUPCIÓN Y BUEN GOBIERNO,4386,96.9,1364.7,80.7
FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,447,94.2,104.5,78.8
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",41426,95.5,35217.3,76.9
INSTITUTO NACIONAL DE REHABILITACIÓN LUIS GUILLERMO IBARRA IBARRA,2390,85.8,2376.7,76.1
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,4910,95.9,1468.6,76.0
INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSÍO VILLEGAS,2450,77.1,3212.5,73.9
INSTITUTO NACIONAL DE SALUD PÚBLICA,2635,94.8,432.6,73.6
"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",612,88.7,761.0,73.1
INSTITUTO NACIONAL DE MEDICINA GENÓMICA,623,88.8,260.0,72.6
INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,4159,89.8,4132.0,71.2
COLEGIO DE POSTGRADUADOS,807,82.0,1256.8,70.5
"EL COLEGIO DE LA FRONTERA NORTE, A.C.",581,90.5,167.9,66.8
"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",332,94.9,848.4,65.4
HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. JUAN GRAHAM CASASUS,176,65.9,301.1,64.6
CASA DE MONEDA DE MEXICO,902,91.1,518.3,63.6
SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,199,62.8,897.5,62.6
"COMPAÑÍA OPERADORA DEL CENTRO CULTURAL Y TURISTICO DE TIJUANA, S.A. DE C.V.",720,95.0,171.4,62.0
COMISION NACIONAL DE SEGUROS Y FIANZAS,208,76.0,169.2,61.7
HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,2703,78.3,1808.9,61.2
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,10262,99.5,573.5,60.6
CENTRO NACIONAL DE METROLOGIA,710,83.9,227.6,60.4
SERVICIOS DE SALUD DE OAXACA,137,62.8,1155.7,59.8
SECRETARIA DE GOBERNACION,478,72.8,1652.2,59.4
COORDINACION NACIONAL DE BECAS PARA EL BIENESTAR BENITO JUAREZ,379,59.4,913.8,59.2
"INSTITUTO DE ECOLOGIA, A.C.",601,91.7,285.7,58.6
SECRETARIA DE BIENESTAR,3445,88.0,8922.6,58.2
