institucion,n_contratos,mad,banda_nigrini,chi2,p_value
FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,437,0.0797,NO CONFORME,312.3,9.964411542249139e-63
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,10251,0.0692,NO CONFORME,6618.4,0.0
SISTEMA PUBLICO DE RADIODIFUSION DEL ESTADO MEXICANO,1675,0.0651,NO CONFORME,752.5,3.566135374187136e-157
COMISION NACIONAL DE CULTURA FISICA Y DEPORTE,797,0.0625,NO CONFORME,374.3,5.894369045725864e-76
INSTITUTO MEXICANO DE INVESTIGACIÓN EN PESCA Y ACUACULTURA SUSTENTABLES,473,0.0586,NO CONFORME,163.3,3.2305705792260496e-31
COMISION NACIONAL FORESTAL,2148,0.054,NO CONFORME,617.9,3.3300137043061893e-128
XE-IPN CANAL 11,8119,0.053,NO CONFORME,2352.4,0.0
"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",331,0.0484,NO CONFORME,90.4,3.8984550853987865e-16
FIDEICOMISO PARA LA CINETECA NACIONAL,1420,0.0483,NO CONFORME,315.7,1.871083427053484e-63
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,391,0.0446,NO CONFORME,76.0,3.07417603237757e-13
INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,2046,0.0442,NO CONFORME,405.0,1.5711172449271443e-82
INSTITUTO MEXICANO DE CINEMATOGRAFIA,554,0.0431,NO CONFORME,89.8,5.029589783715794e-16
INSTITUTO NACIONAL DE BELLAS ARTES Y LITERATURA,3660,0.0428,NO CONFORME,655.3,3.0151174685140046e-136
CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,378,0.0407,NO CONFORME,65.7,3.538384834330849e-11
FIDEICOMISO UNIVERSIDAD MARÍTIMA Y PORTUARIA DE MÉXICO,801,0.04,NO CONFORME,152.7,5.320464306500925e-29
SECRETARÍA DE LAS MUJERES,654,0.0396,NO CONFORME,340.7,8.542884913379548e-69
INSTITUTO NACIONAL DE LA INFRAESTRUCTURA FISICA EDUCATIVA,371,0.0391,NO CONFORME,68.9,8.150868096044121e-12
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL LAZARO CARDENAS, S.A. DE C.V.",794,0.039,NO CONFORME,131.1,1.687573919456955e-24
SECRETARÍA DE ORDENAMIENTO TERRITORIAL Y OBRAS PÚBLICAS,529,0.0384,NO CONFORME,89.8,5.035657996928183e-16
INSTITUTO NACIONAL DE SALUD PÚBLICA,2627,0.038,NO CONFORME,471.8,7.845306731316898e-97
SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,367,0.0375,NO CONFORME,61.2,2.709486914375298e-10
PROCURADURIA AGRARIA,391,0.0365,NO CONFORME,238.4,4.954574934167306e-47
"SECRETARIA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",4333,0.0358,NO CONFORME,557.8,2.8036475983334427e-115
SECRETARIA DE GOBERNACION,471,0.0331,NO CONFORME,78.0,1.2626831441024376e-13
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL TAMPICO, S.A. DE C.V.",314,0.0324,NO CONFORME,40.9,2.166795280764142e-06
SECRETARÍA ANTICORRUPCIÓN Y BUEN GOBIERNO,4381,0.0319,NO CONFORME,643.6,9.935870963270636e-134
"INSTITUTO DE INVESTIGACIONES ""DR. JOSE MARIA LUIS MORA""",524,0.0313,NO CONFORME,55.8,3.0443792841917906e-09
SERVICIO POSTAL MEXICANO,498,0.0312,NO CONFORME,70.2,4.4804425579784685e-12
SECRETARIA DE OBRAS PUBLICAS DEL GOBIERNO DEL ESTADO DE TAMAULIPAS,353,0.0306,NO CONFORME,38.2,6.950690708799858e-06
"CENTRO DE CAPACITACIÓN CINEMATOGRÁFICA, A.C.",939,0.0305,NO CONFORME,108.1,9.275333242727995e-20
"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE, S.C.",400,0.0305,NO CONFORME,39.7,3.609256115745524e-06
"CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS, S.C.",447,0.0301,NO CONFORME,48.9,6.581564851773931e-08
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,4730,0.0301,NO CONFORME,444.7,5.106543997055653e-91
SECRETARIA DE BIENESTAR,3440,0.0292,NO CONFORME,309.9,3.2158376962616136e-62
SECRETARIA DE CULTURA,4672,0.0292,NO CONFORME,559.3,1.2816926227908237e-115
"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",319,0.0287,NO CONFORME,37.5,9.169528899205067e-06
"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",465,0.0287,NO CONFORME,37.7,8.720586763561866e-06
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,615,0.0278,NO CONFORME,56.4,2.395432365127619e-09
SECRETARIA DE ECONOMIA,311,0.0264,NO CONFORME,21.6,0.005810898589941411
LOTERÍA NACIONAL,392,0.0259,NO CONFORME,38.6,5.91551114454269e-06
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",656,0.0251,NO CONFORME,40.4,2.6522579322619596e-06
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL MANZANILLO, S.A. DE C.V.",589,0.0246,NO CONFORME,42.2,1.231942707387112e-06
INSTITUTO MEXICANO DE LA RADIO,621,0.0236,NO CONFORME,51.7,1.9421512743892938e-08
"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",350,0.0235,NO CONFORME,43.7,6.409145560492401e-07
PROCURADURIA FEDERAL DEL CONSUMIDOR,502,0.0234,NO CONFORME,35.5,2.205844312538139e-05
FINANCIERA PARA EL BIENESTAR,359,0.0231,NO CONFORME,19.3,0.013394104040329091
EL COLEGIO DE LA FRONTERA SUR,321,0.0229,NO CONFORME,21.6,0.005672921898749479
"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",568,0.0227,NO CONFORME,30.7,0.00016171426613100805
INSTITUTO POLITECNICO NACIONAL,14649,0.022,NO CONFORME,606.2,1.1018641019367676e-125
"COMPAÑÍA OPERADORA DEL CENTRO CULTURAL Y TURISTICO DE TIJUANA, S.A. DE C.V.",717,0.0217,NO CONFORME,35.8,1.9033716583473337e-05
CENTRO DE ENSENANZA TECNICA INDUSTRIAL,360,0.021,NO CONFORME,19.9,0.010657983171210934
INSTITUTO NACIONAL DE REHABILITACIÓN LUIS GUILLERMO IBARRA IBARRA,2371,0.0204,NO CONFORME,86.9,1.995653630027537e-15
OFICIALÍA MAYOR,339,0.0203,NO CONFORME,15.2,0.05508613005629748
SECRETARIA DE MARINA,4139,0.0203,NO CONFORME,190.6,6.038053510421072e-37
INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,591,0.0201,NO CONFORME,32.0,9.152033574423038e-05
FONDO DE CULTURA ECONOMICA,592,0.02,NO CONFORME,27.6,0.000550691163393753
CENTRO NACIONAL DE METROLOGIA,674,0.0199,NO CONFORME,29.6,0.0002478031368259659
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA",367,0.0197,NO CONFORME,16.9,0.03109299287542828
INSTITUTO TECNOLÓGICO DE SONORA,784,0.0196,NO CONFORME,39.7,3.6853181655608983e-06
"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PROGRESO, S.A. DE C.V.",434,0.0194,NO CONFORME,20.3,0.009100393873657088
INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,340,0.0194,NO CONFORME,16.0,0.041795888192696494
SECRETARIA DE HACIENDA Y CREDITO PUBLICO,613,0.0188,NO CONFORME,33.4,5.109373682781357e-05
CASA DE MONEDA DE MEXICO,688,0.0186,NO CONFORME,38.0,7.678771332897493e-06
INSTITUTO NACIONAL DE CARDIOLOGÍA IGNACIO CHÁVEZ,1297,0.0182,NO CONFORME,71.5,2.420247484566284e-12
INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,4139,0.018,NO CONFORME,131.4,1.4364375161774661e-24
PROCURADURIA FEDERAL DE PROTECCION AL AMBIENTE,432,0.0179,NO CONFORME,51.5,2.0633713141203773e-08
"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",323,0.0177,NO CONFORME,12.8,0.11950622514500833
"BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS, S.N.C.",551,0.0176,NO CONFORME,19.7,0.011639473693532383
