proveedor,rfc,constituida,fecha_contrato,edad_dias,institucion,tipo_procedimiento,monto_mxn_millones,tipo_monto,direccion_anuncio
WHITEMED SA DE CV,WHI231017IC4,2023-10-17,2024-04-13,179,INSTITUTO MEXICANO DEL SEGURO SOCIAL,"ADJUDICACIÓN DIRECTA POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",1010.84,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/724beb783be749fca51af5f834e364b5/procedimiento
BELOW THE LINE PRODIGY SA DE CV,BLP240515311,2024-05-15,2024-10-24,162,SECRETARIA DE MARINA,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,134.22,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/88401dd6c16a4091830440911c73e560/procedimiento
RENOVACION MEDICA INTEGRAL REMEIN SA DE CV,RMI240614P65,2024-06-14,2025-01-01,201,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,113.29,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a3e5e0b43e214210ae1c4308a7b24eb4/procedimiento
ARMOT SEGURIDAD PRIVADA Y SERVICIOS INSTITUCIONALES SA DE CV,ASP220621KC5,2022-06-21,2023-05-18,331,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,LICITACIÓN PÚBLICA,112.64,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7848b0ec268548d3a7114e9e6aa4430f/procedimiento
MI PEQUEÑO COLIBRI SC,PCO2310096P1,2023-10-09,2024-01-01,84,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,85.9,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5ac07f6357dd427bb72f0bcd76b8527d/procedimiento
GRUPO GLOBAL SHAPALATA S DE RL DE CV,GGS2303217D5,2023-03-21,2023-07-10,111,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",LICITACIÓN PÚBLICA,79.4,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/5082b40ecab44c159e3742e3c40f8db8/procedimiento
CARINT SA DE CV,CAR2208226S8,2022-08-22,2023-07-18,330,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,78.31,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/6ffc8b7b996f4ddf8114771acbe497ae/procedimiento
INNOVA MEDIC CROSSET SA DE CV,IMC221214FWA,2022-12-14,2023-09-18,278,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,74.69,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/39d7c685d50d4b3ebd90c511f0348f90/procedimiento
COLEGIO TERRAL SC,CTE230601GL9,2023-06-01,2024-01-01,214,INSTITUTO MEXICANO DEL SEGURO SOCIAL,LICITACIÓN PÚBLICA,70.56,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a0187ef219044374899ccb0d371be55c/procedimiento
INNOVA MEDIC CROSSET SA DE CV,IMC221214FWA,2022-12-14,2023-07-14,212,INSTITUTO MEXICANO DEL SEGURO SOCIAL,ADJUDICACIÓN DIRECTA POR CASO FORTUITO O FUERZA MAYOR,69.3,ejercido,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/ed8d9de8f9894c51a77f2ac1de4067c2/procedimiento
