file_year,codigo_contrato,proveedor,rfc,nombre_sfp,inhab_desde,inhab_hasta,fecha_contrato,durante_inhabilitacion,institucion,orden_gobierno,estado_comprador,tipo_procedimiento,importe,moneda_efectiva,multa,institucion_sancionadora,direccion_anuncio
2023,C-2023-00156113,CONSTRUCCION Y ASESORIA EN OBRAS Y SERVICIOS SA DE CV,CAO070122P44,"CONSTRUCCIÓN Y ASESORIAS EN OBRAS Y SERVICIOS, S.A. DE C.V.",2023-05-04,2024-05-03,2023-09-11,True,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,9985448.58,MXN,"{'monto': '408667.5', 'monto_cf': '             408,667.50'}","{'nombre': 'Comision Nacional del Agua', 'clave_dependencia': '16101'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/8a8bd18d1d6b47bda970f21c4df78a57/procedimiento
2023,C-2023-00151343,CONSTRUCCION Y ASESORIA EN OBRAS Y SERVICIOS SA DE CV,CAO070122P44,"CONSTRUCCIÓN Y ASESORIAS EN OBRAS Y SERVICIOS, S.A. DE C.V.",2023-05-04,2024-05-03,2023-11-16,True,CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,APF,,LICITACIÓN PÚBLICA,9450364.4,MXN,"{'monto': '408667.5', 'monto_cf': '             408,667.50'}","{'nombre': 'Comision Nacional del Agua', 'clave_dependencia': '16101'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/fbe9ef627f5248f4abf1bf40996cffca/procedimiento
2025,C-2025-00027482,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-04-01,True,SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,APF,,LICITACIÓN PÚBLICA,3262500.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a07f49341c1c410b884a029ccdeaa586/procedimiento
2025,C-2025-00031315,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-04-01,True,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,1998000.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/9d7b9029de2549129272ae976e058b29/procedimiento
2025,C-2025-00052533,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-06-04,True,COMISION NACIONAL DEL AGUA,APF,,LICITACIÓN PÚBLICA,764619.9,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/e421223cbc2e467dbe07752a74c55a7a/procedimiento
2025,C-2025-00016251,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-03-01,True,SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,725000.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2ff0b02f4d80450c805fbc3cc53d8e9a/procedimiento
2025,C-2025-00055969,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-04-01,True,"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",APF,,LICITACIÓN PÚBLICA,648000.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7e830d4906834fcbb82ba6a5db04a8ba/procedimiento
2025,C-2025-00026366,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-03-16,True,SERVICIO GEOLOGICO MEXICANO,APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,551000.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/eed7a0d53ce1471286c0d30370d79694/procedimiento
2025,C-2025-00000906,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-01-04,True,COMISION NACIONAL FORESTAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,492105.26,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/25de61cb22d94e3b8cbabeb4b6d3ead6/procedimiento
2023,C-2023-00005195,LOGISTICA MEDICA DE OCCIDENTE S DE RL DE CV,LMO111129RJ7,"LOGISTICA MEDICA DE OCCIDENTE, S. DE R.L. DE C.V.",2022-12-09,2024-06-09,2023-02-17,True,INSTITUTO MEXICANO DEL SEGURO SOCIAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,242250.0,MXN,"{'monto': '760410', 'monto_cf': '             760,410.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/790cf63666144bc6837c0be076e5b078/procedimiento
2025,C-2025-00015077,SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,"SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA, S.A. DE C.V.",2024-12-18,2025-12-18,2025-03-01,True,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,222000.0,MXN,"{'monto': '521280', 'monto_cf': '             521,280.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2410ffd7fecf4605b94c478c223c245e/procedimiento
2023,C-2023-00005192,LOGISTICA MEDICA DE OCCIDENTE S DE RL DE CV,LMO111129RJ7,"LOGISTICA MEDICA DE OCCIDENTE, S. DE R.L. DE C.V.",2022-12-09,2024-06-09,2023-02-17,True,INSTITUTO MEXICANO DEL SEGURO SOCIAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,126000.0,MXN,"{'monto': '760410', 'monto_cf': '             760,410.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/790cf63666144bc6837c0be076e5b078/procedimiento
2025,C-2025-00063468,ANSOF COMERCIALIZADORES SA DE CV,ACO150612873,"ANSOF COMERCIALIZADORES, S.A. DE C.V.",2025-05-14,2026-08-14,2025-06-02,True,SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,APF,,"ADJUDICACIÓN DIRECTA POR ADJUDICACIÓN A PROVEEDOR CON CONTRATO VIGENTE, BAJO LAS MISMAS CONDICIONES",119719.18,MXN,"{'monto': '841417.5', 'monto_cf': '             841,417.50'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/09bd3e9392c84c3ebe86eb50a185a871/procedimiento
2023,C-2023-00005194,LOGISTICA MEDICA DE OCCIDENTE S DE RL DE CV,LMO111129RJ7,"LOGISTICA MEDICA DE OCCIDENTE, S. DE R.L. DE C.V.",2022-12-09,2024-06-09,2023-02-17,True,INSTITUTO MEXICANO DEL SEGURO SOCIAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,110000.0,MXN,"{'monto': '760410', 'monto_cf': '             760,410.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/790cf63666144bc6837c0be076e5b078/procedimiento
2023,C-2023-00107835,ALBOREA TECNOLOGIA SA DE CV,ATE160721KI7,"ALBOREA TECNOLOGÍA, S.A. DE C.V.",2023-09-26,2025-03-26,2023-09-28,True,INSTITUTO MEXICANO DEL SEGURO SOCIAL,APF,,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,103320.0,MXN,"{'monto': '806580', 'monto_cf': '             806,580.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/1e0e81e3a82249e3a59b515e1dc37a6f/procedimiento
