proveedor,rfc,inhabilitado_desde,hasta,fecha_contrato,institucion,orden_gobierno,estado_comprador,tipo_procedimiento,importe,monto_mxn_millones,direccion_anuncio
CONSTRUCCION Y ASESORIA EN OBRAS Y SERVICIOS SA DE CV,CAO070122P44,2023-05-04,2024-05-03,2023-09-11,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS PARA EXCEPCIÓN,9985448.58,9.99,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/8a8bd18d1d6b47bda970f21c4df78a57/procedimiento
CONSTRUCCION Y ASESORIA EN OBRAS Y SERVICIOS SA DE CV,CAO070122P44,2023-05-04,2024-05-03,2023-11-16,CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,APF,,LICITACIÓN PÚBLICA,9450364.4,9.45,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/fbe9ef627f5248f4abf1bf40996cffca/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-04-01,SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,APF,,LICITACIÓN PÚBLICA,3262500.0,3.26,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/a07f49341c1c410b884a029ccdeaa586/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-04-01,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,APF,,ADJUDICACIÓN DIRECTA POR AUTORIZACIÓN DE OM O EQUIVALENTE,1998000.0,2.0,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/9d7b9029de2549129272ae976e058b29/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-06-04,COMISION NACIONAL DEL AGUA,APF,,LICITACIÓN PÚBLICA,764619.9,0.76,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/e421223cbc2e467dbe07752a74c55a7a/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-03-01,SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,725000.0,0.73,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/2ff0b02f4d80450c805fbc3cc53d8e9a/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-04-01,"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",APF,,LICITACIÓN PÚBLICA,648000.0,0.65,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/7e830d4906834fcbb82ba6a5db04a8ba/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-03-16,SERVICIO GEOLOGICO MEXICANO,APF,,INVITACIÓN A CUANDO MENOS 3 PERSONAS POR MONTOS MÁXIMOS POR EXCEPCIÓN,551000.0,0.55,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/eed7a0d53ce1471286c0d30370d79694/procedimiento
SERVICIOS INDUSTRIALES Y EMPRESARIALES DE LA LAGUNA SA DE CV,SIE020425UJ7,2024-12-18,2025-12-18,2025-01-04,COMISION NACIONAL FORESTAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,492105.26,0.49,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/25de61cb22d94e3b8cbabeb4b6d3ead6/procedimiento
LOGISTICA MEDICA DE OCCIDENTE S DE RL DE CV,LMO111129RJ7,2022-12-09,2024-06-09,2023-02-17,INSTITUTO MEXICANO DEL SEGURO SOCIAL,APF,,ADJUDICACIÓN DIRECTA POR URGENCIA Y EVENTUALIDAD,242250.0,0.24,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/790cf63666144bc6837c0be076e5b078/procedimiento
