institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DBT,6,26,2008-06-06 00:00:00,2008-07-02 00:00:00,19,3395.9,"COMERCIALIZADORA DE PRODUCTOS BASICOS PARA LA SALUD S DE RL DE C (CPB080606M93, 2008-06-06 00:00:00) | KEDRION MEXICANA SA DE CV (KME080606LS5, 2008-06-06 00:00:00) | FARMACOS Y RECURSOS MATERIALES ESPECIALIZADOS SA DE CV (FRM080611MC9, 2008-06-11 00:00:00) | SERVICIOS EMPRESARIALES BLANROJ SA DE CV (SEB080617NDA, 2008-06-17 00:00:00) | ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | FARMACEUTICA ALTHOS SA DE CV (FAL080702S73, 2008-07-02 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,COORDINACIÓN DE ADQUISICIONES,4,30,1989-10-30 00:00:00,1989-11-29 00:00:00,8,1165.4,"MEDICAL DIMEGAR SA DE CV (MDI891030IH9, 1989-10-30 00:00:00) | INFRA SA DE CV (INF891031LT4, 1989-10-31 00:00:00) | ELEVADORES SCHINDLER SA DE CV (ESC8911081Q8, 1989-11-08 00:00:00) | PRODUCTOS SEREL SA DE CV (PSE891129GS1, 1989-11-29 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",DIRECCIÓN COMERCIAL,3,20,2023-01-07 00:00:00,2023-01-27 00:00:00,179,1164.2,"COMERCIALIZADORA FAMILYDUCK SA DE CV (CFA230107UC6, 2023-01-07 00:00:00) | KONKISTOLO SA DE CV (KON230118UV6, 2023-01-18 00:00:00) | BECADEHU INDUSTRIES SA DE CV (BIN230127731, 2023-01-27 00:00:00)"
"LICONSA, S.A. DE C.V.",GERENCIA DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,8,2005-08-04 00:00:00,2005-08-12 00:00:00,49,803.5,"ONG CONTRALORIA CIUDADANA PARA LA RENDICION DE CUENTAS AC (OCC050804SN6, 2005-08-04 00:00:00) | TRANSLIQUIDOS REFRIGERADOS LOPEZ SA DE CV (TRL050804AP6, 2005-08-04 00:00:00) | INSTITUTO DE LA POLICIA AUXILIAR Y PROTECCION PATRIMONIAL PARA E (IPA0508126H7, 2005-08-12 00:00:00)"
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,"UNIDAD DE ADMINISTRACIÓN Y FINANZAS, COORDINACIÓN DE SERVICIOS GENERALES",3,21,2011-06-13 00:00:00,2011-07-04 00:00:00,4,692.9,"GOBERNANZA, DESARROLLO Y TRANSPARENCIA INSTITUCIONAL AC (ATF1106136H7, 2011-06-13 00:00:00) | INTELLIGENCE ADVANCE NANOTECHNOLOGY SA DE CV (IAN110630QY9, 2011-06-30 00:00:00) | PROCESADORA Y DISTRIBUIDORA LOS CHANEQUES SA DE CV (PDC110704EI1, 2011-07-04 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,JEFATURA DE SERVICIOS DE ADQUISICION DE MATERIAL DE CURACION,4,9,2010-06-21 00:00:00,2010-06-30 00:00:00,7,670.4,"ISA HEALTH SA DE CV (IHE100621C38, 2010-06-21 00:00:00) | SOLAR MEDICAL SA DE CV (SME100621IG8, 2010-06-21 00:00:00) | SOLUCIONES EN LIDERAZGO FARMACEUTICO SA DE CV (SLF1006265D1, 2010-06-26 00:00:00) | SUMINISTROS MEDICOS DE MEXICO SA DE CV (SMM1006305X7, 2010-06-30 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DA-UADQ-CABCS-DSI,4,23,2010-04-05 00:00:00,2010-04-28 00:00:00,59,626.8,"SOLUCIONES TECNOLOGICAS MEDICAS SA DE CV (STM100405IH9, 2010-04-05 00:00:00) | IGSA MEDICAL SERVICES SA DE CV (IMS1004145W0, 2010-04-14 00:00:00) | UNIDAD RENAL DE ZAMORA SC (URZ100420548, 2010-04-20 00:00:00) | ESTERINOVA PUEBLA SA DE CV (EPU1004283M2, 2010-04-28 00:00:00)"
"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",DIRECCION GENERAL,4,29,2012-02-07 00:00:00,2012-03-07 00:00:00,6,626.1,"GRUPO FARMACEUTICO SIGMUN SA DE CV (GFS120207M65, 2012-02-07 00:00:00) | CIENTIFICA POA SA DE CV (CPO1202228G4, 2012-02-22 00:00:00) | COMERCIALIZADORA DE EMPAQUES RALI SA DE CV (CER120307K92, 2012-03-07 00:00:00) | DISTRIBUCIONES CIENTIFICAS JVC SA DE CV (DCJ1203071T7, 2012-03-07 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA DE U.O.TUXTLA ABASTO,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,128,530.5,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,SUBDIRECCION DE RECURSOS MATERIALES Y SERVICIOS GENERALES,6,15,2004-07-06 00:00:00,2004-07-21 00:00:00,147,501.2,"EXELTIS PHARMA MEXICO SA DE CV (LEM040706KQ1, 2004-07-06 00:00:00) | KABLA COMERCIAL SA DE CV (KCO040707BB5, 2004-07-07 00:00:00) | NOVO NORDISK MEXICO SA DE CV (NNM040713CM7, 2004-07-13 00:00:00) | INSTITUTO NACIONAL DE MEDICINA GENOMICA (INM0407193Q5, 2004-07-19 00:00:00) | EVOLUTION PROCES SA DE CV (EPR040720395, 2004-07-20 00:00:00) | ABALAT SA DE CV (ABA040721TS9, 2004-07-21 00:00:00)"
