estado_comprador,sujeto_obligado,empresas,proveedores_del_sujeto,pct_del_sujeto,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
AGUASCALIENTES,AGU - FIDEICOMISO DE DESARROLLOS INDUSTRIALES DEL ESTADO DE AGUASCALIENTES,3,7,42.9,13,2010-03-09 00:00:00,2010-03-22 00:00:00,8,78.9,"INSTRUMENTACIÓN Y CONTROL MARVIRJIM S.A DE C.V (ICM100309DZ9, 2010-03-09 00:00:00) | SINERGIA AQUIFERA S.A DE C.V (CAQ1003228Q2, 2010-03-22 00:00:00) | SINERGIA AQUIFERA S.A. DE C.V. (SAQ1003228U2, 2010-03-22 00:00:00)"
GUANAJUATO,GUA - San Diego de la Union,4,10,40.0,6,2018-11-09 00:00:00,2018-11-15 00:00:00,12,30.9,"CONSTRUCTORA EDIVIAL S.A DE C.V. (CED181109NB0, 2018-11-09 00:00:00) | INGENIERIA CONSTRUCTIVA PAVSA S.A DE C.V. (ICP181115GE0, 2018-11-15 00:00:00) | INGENIERIA CONSTRUCTIVA PAVSA S.A DE C.V. (ICP181115GEO, 2018-11-15 00:00:00) | Constructora PAVSA S.A. de C.V. (LCP181115GEO, 2018-11-15 00:00:00)"
HIDALGO,HID - Huejutla de Reyes,3,7,42.9,22,2022-10-18 00:00:00,2022-11-09 00:00:00,28,28.9,"CONTRATISTA (DEO221018B11, 2022-10-18 00:00:00) | CONTRATISTA (GCC2211085M4, 2022-11-08 00:00:00) | CONTRATISTA (SLD221109CA2, 2022-11-09 00:00:00)"
VERACRUZ,VER - Ayuntamiento de Rio Blanco,3,11,27.3,3,2022-02-11 00:00:00,2022-02-14 00:00:00,18,13.6,"CONSTRUCCIONES E INGENIERIA JUMONTSA S.A DE C.V (CIJ220211EV3, 2022-02-11 00:00:00) | CONSTRUCTORA MIGCIN S.A DE C.V. (CMI220211NL8, 2022-02-11 00:00:00) | EDIFICACIONES & CONSTRUCTORA ARVIARSA S.A DE C.V (EAC220214PN8, 2022-02-14 00:00:00)"
HIDALGO,HID - Jaltocan,3,5,60.0,0,2023-02-21 00:00:00,2023-02-21 00:00:00,10,9.7,"Distribuciones Las 4 hermanas sociedad anonima de capital variable (DCH230221EC5, 2023-02-21 00:00:00) | Dasof rentas y distribuciones, sociedad anonima de capital variable (DRD230221R3A, 2023-02-21 00:00:00) | Grupo veracruzano yaresoam, sociedad anonima de capital variable (GVY230221GY1, 2023-02-21 00:00:00)"
VERACRUZ,VER - Ayuntamiento de Ignacio de la Llave,4,9,44.4,28,2022-01-17 00:00:00,2022-02-14 00:00:00,8,9.6,"MARKA INTERIORISMO S.A. DE C.V. (MIN220117RV3, 2022-01-17 00:00:00) | CBRO CONSTRUCTORA E INMOBILIARIA S.A. DE C.V. (CCI220127QV6, 2022-01-27 00:00:00) | ROAR CONSTRUCCIONES Y REPARACIONES S.A. DE C.V. (RCR220208IB3, 2022-02-08 00:00:00) | EDIFICACIONES & CONSTRUCTORA ARVIARSA S.A. DE C.V. (EAC220214PN8, 2022-02-14 00:00:00)"
VERACRUZ,VER - Ayuntamiento de Rafael Delgado,3,8,37.5,3,2022-02-11 00:00:00,2022-02-14 00:00:00,5,6.8,"CONSTRUCCIONES E INGENIERIA JUMONTSA S.A. DE C.V. (CIJ220211EV3, 2022-02-11 00:00:00) | CONSTRUCTORA MIGCIN S.A. DE C.V. (CMI220211NL8, 2022-02-11 00:00:00) | EDIFICACIONES Y CONSTRUCTORA ARVIARSA S.A. DE C.V. (EAC220214PN8, 2022-02-14 00:00:00)"
GUANAJUATO,GUA - Yuriria,3,8,37.5,0,2021-05-29 00:00:00,2021-05-29 00:00:00,4,6.5,"CONTRATISTA (JCO2105293Q4, 2021-05-29 00:00:00) | CONTRATISTA (JCO2105293Q5, 2021-05-29 00:00:00) | PERSONA MORAL (JCO2105293Q9, 2021-05-29 00:00:00)"
VERACRUZ,VER - Ayuntamiento de Tomatlan,3,8,37.5,3,2022-02-11 00:00:00,2022-02-14 00:00:00,9,4.4,"CONSTRUCCIONES E INGENIERIA JUMONTSA S.A. DE C.V. (CIJ220211EV3, 2022-02-11 00:00:00) | CONSTRUCTORA MIGCIN S.A. DE C.V. (CMI220211NL8, 2022-02-11 00:00:00) | EDIFICACIONES Y CONSTRUCTORA ARVIARSA S.A. DE C.V. (EAC220214PN8, 2022-02-14 00:00:00)"
OAXACA,OAX - SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,8,19,42.1,0,2013-03-10 00:00:00,2013-03-10 00:00:00,8,4.0,"COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310132, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310133, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310134, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310135, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310136, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310137, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310138, 2013-03-10 00:00:00) | COMERCIALIZADORA PROBMAN, S.A. DE C.V. (CPR130310139, 2013-03-10 00:00:00)"
