estado_comprador,ejercicio,contratos,pct_rfc_valido,pct_con_fecha,monto_mxn_millones,sujetos_obligados
AGUASCALIENTES,2024,5857,68.1,72.7,6191.2,59
AGUASCALIENTES,2025,5100,68.9,75.6,6467.1,47
BAJA CALIFORNIA,2024,5609,47.2,60.9,8860.2,78
BAJA CALIFORNIA,2025,4352,74.8,80.5,19226.9,74
BAJA CALIFORNIA SUR,2024,6557,28.2,31.9,2307.1,52
BAJA CALIFORNIA SUR,2025,4838,43.7,29.7,1513.2,52
CAMPECHE,2024,4298,52.6,79.8,1988.7,50
CAMPECHE,2025,4159,65.6,71.6,1565.0,47
CHIAPAS,2024,7295,72.2,78.9,10337.5,136
CHIAPAS,2025,5384,67.1,82.3,11403.5,130
CHIHUAHUA,2024,8760,9.4,74.9,27125.7,211
CHIHUAHUA,2025,6513,36.0,19.8,5221.6,185
CIUDAD DE MÉXICO,2024,5826,24.9,25.1,7558.4,103
CIUDAD DE MÉXICO,2025,12297,78.0,93.5,28227.3,99
COAHUILA DE ZARAGOZA,2024,10208,91.7,96.0,1176.2,54
COAHUILA DE ZARAGOZA,2025,4394,90.9,93.4,4093.0,51
COLIMA,2024,2100,28.2,33.4,395.8,56
COLIMA,2025,1947,24.0,22.7,384.0,49
DURANGO,2024,13675,30.9,53.1,1328.6,95
DURANGO,2025,11180,38.2,65.4,2717.1,79
GUANAJUATO,2024,21962,68.8,61.6,3577.9,57
GUANAJUATO,2025,49152,69.1,85.5,18216.4,58
GUERRERO,2024,4087,8.2,86.3,2267.0,127
GUERRERO,2025,3947,15.8,69.7,1042.3,119
HIDALGO,2023,1,0.0,100.0,1.1,1
HIDALGO,2024,23499,78.8,42.7,15563.1,91
HIDALGO,2025,23343,78.7,36.0,16238.5,90
HIDALGO,2026,1,0.0,0.0,,1
JALISCO,2024,8779,68.2,76.5,19299.1,162
JALISCO,2025,7205,64.6,53.7,15540.7,123
MICHOACÁN DE OCAMPO,2024,12818,39.7,33.7,2652.0,135
MICHOACÁN DE OCAMPO,2025,10085,30.1,19.7,4373.4,111
MORELOS,2024,3776,55.0,66.4,2165.2,74
MORELOS,2025,2523,42.6,50.3,1414.6,60
MÉXICO,2024,434,89.6,91.2,365.2,43
NAYARIT,2024,3301,60.1,58.4,787.8,63
NAYARIT,2025,1146,23.2,51.2,546.8,52
NUEVO LEÓN,2024,10077,75.8,51.5,6434.3,69
NUEVO LEÓN,2025,11952,51.8,44.1,2163.9,67
OAXACA,2024,3262,51.6,51.4,4697.0,96
OAXACA,2025,2755,46.4,44.3,5125.8,90
PUEBLA,2024,7637,29.3,32.7,4883.6,276
PUEBLA,2025,8365,40.8,65.1,5765.7,244
QUERÉTARO,2024,20731,42.5,50.2,10204.7,71
QUERÉTARO,2025,22264,48.1,61.3,8964.8,69
QUINTANA ROO,2024,4017,55.3,73.2,4485.2,73
QUINTANA ROO,2025,3096,51.3,69.5,9627.7,73
SAN LUIS POTOSÍ,2024,2290,78.3,99.5,2782.4,90
SAN LUIS POTOSÍ,2025,3461,82.1,95.2,1479.4,86
SINALOA,2024,12351,47.9,65.2,9988.7,83
SINALOA,2025,10163,41.6,39.1,2781.8,72
SONORA,2021,1,100.0,100.0,0.8,1
SONORA,2024,15134,53.0,61.4,4998.7,110
SONORA,2025,12891,58.7,65.9,2395.5,116
TABASCO,2024,10427,53.5,73.7,3945.9,88
TABASCO,2025,7801,68.5,77.6,16821.7,83
TAMAULIPAS,2024,13538,56.5,44.9,3264.0,67
TAMAULIPAS,2025,9199,38.3,49.2,11772.3,54
TLAXCALA,2024,3531,43.2,13.1,304.4,102
TLAXCALA,2025,3079,56.4,65.2,1183.7,86
VERACRUZ,2024,19634,48.9,64.1,6504.0,200
VERACRUZ,2025,15351,51.5,49.9,3316.3,187
YUCATÁN,2024,2562,57.1,48.4,1832.9,68
YUCATÁN,2025,3896,56.5,44.8,4722.7,64
ZACATECAS,2024,10054,37.3,29.7,789.7,119
ZACATECAS,2025,10984,24.2,22.8,286.4,101
