estado_comprador,sujeto_obligado,proveedor,contratos,monto_mxn_millones,pct_del_gasto_directo,directas_del_sujeto
QUERÉTARO,QUE - Poder Ejecutivo del Estado de Queretaro,"SEGURITECH PRIVADA, S.A. DE C.V.",2,7826.14,82.9,14219.0
TAMAULIPAS,TAM - Fiscalia General de Justicia del Estado de Tamaulipas,"Value Automotriz, SA de CV",4,3968.01,84.1,86.0
TAMAULIPAS,TAM - Instituto del Deporte de Tamaulipas,Viajes Paradise S.A. de C.V.,2,2300.0,98.4,17.0
SINALOA,SIN - AY00107-Junta de Agua Potable y Alcant. del Municipio de Ahome,SERVICIOS DEL VALLE DEL FUERTE S.A. de C.V.,1,960.0,80.5,22.0
CIUDAD DE MÉXICO,"CMX - Secretaria de Educacion, Ciencia, Tecnologia e Innovacion",TOKA INTERNACIONAL S.A.P.I. DE C.V.,1,555.58,92.7,400.0
VERACRUZ,VER - Ayuntamiento de Las Choapas,GIERXI Y ASOCIADOS S. DE R.L. DE C.V.,2,493.37,93.4,45.0
OAXACA,OAX - INSTITUTO OAXAQUE?O CONSTRUCTOR DE INFRAESTRUCTURA EDUCATIVA,PROVEEDORA DE OFICINAS Y COMERCIOS HANSS S.A. DE C.V.,2,466.44,58.6,69.0
CIUDAD DE MÉXICO,CMX - Tribunal Superior de Justicia de la Ciudad de Mexico,"Servicios BROXEL, S.A.P.I. de C.V.",1,424.76,50.5,208.0
BAJA CALIFORNIA,BCN - Comision Estatal del Sistema Penitenciario de Baja California,Extractos de Frutas del Pacifico S.A. de C.V.,1,402.32,71.7,49.0
JALISCO,JAL - O.P.D. Servicios de Salud Jalisco,"INTERMET, S.A. DE C.V.",3,330.0,87.5,22.0
CAMPECHE,"CAM - Secretaria de Administracion, Finanzas y Planeacion del Poder Ejecutivo del Estado de Campeche","Txat Latam, S.A.P.I. de C.V.",2,256.41,62.1,4156.0
YUCATÁN,YUC - Universidad Autonoma de Yucatan,Farmacias Universitarias S.A de C.V.,1,165.0,85.8,532.0
QUINTANA ROO,ROO - SECRETARIA DE OBRAS PUBLICAS,COMPAÑÍA INTEGRA SOLUCIONES S.A. DE C.V.,2,158.99,59.8,19.0
CHIAPAS,CHP - Ayuntamiento de Tenejapa,Adminstrador Unico,57,158.68,57.1,104.0
HIDALGO,HID - Huejutla de Reyes,CONTRATISTA,140,125.52,100.0,140.0
HIDALGO,HID - Actopan,COMERCIALIZADORA Y TRANSPORTES SAN JAVIER S.A. DE C.V.,3,123.6,71.5,145.0
CHIAPAS,CHP - Fideicomiso de Prestaciones Seguridad Social para los Trabajadores del Sector Policial Operativo al Servicio del Poder Ejecutivo del Estado de Chiapas,Diagnoscentro SA de CV,5,89.94,65.6,21.0
CIUDAD DE MÉXICO,CMX - Servicio de Transportes Electricos de la Ciudad de Mexico,"SEGUROS INBURSA S.A ., GRUPO FINANCIERO INBURSA",1,72.93,56.6,21.0
