estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
BAJA CALIFORNIA,BCN - Comision Estatal del Sistema Penitenciario de Baja California,094 Comercializadora Delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2026-10-20,True,Invitación a cuando menos tres personas,2025,1253060.54,1.25,True,http://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=setBC/&nombreArchivo=FuenteOrigen/62/64820260320132859.pdf&descargar=false
CIUDAD DE MÉXICO,CMX - Alcaldia Cuauhtemoc,"ARCH ECOSYSTEMS TECH, S.A. DE C.V.",AET201113369,Definitivo,2025-08-01,2025-11-14,True,Adjudicación directa,2025,74240.0,0.07,True,https://transparencia.alcaldiacuauhtemoc.mx:81/media/01-28-2026/1268/081-2025-ADQ-CHALECOS.pdf
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2024-08-27,True,Adjudicación directa,2024,1197.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2025-02-11,True,Adjudicación directa,2025,1023.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2025-02-11,True,Adjudicación directa,2025,968.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2024-11-08,True,Adjudicación directa,2024,550.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2024-04-26,True,Adjudicación directa,2024,500.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
JALISCO,JAL - Comision de Arbitraje Medico del Estado de Jalisco,Secretaria de la Hacienda Pública,ADE090317QV3,Definitivo,2016-07-18,2024-07-22,True,Adjudicación directa,2024,500.0,0.0,True,https://transparencia.jalisco.gob.mx/informacion/contenido/138/125
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-08-19,False,Adjudicación directa,2025,66990000.0,66.99,True,"https://drive.google.com/file/d/1AGo7oMEsi4JqbcluO2TRhJ9xXifsINXO/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-03-13,False,Adjudicación directa,2025,20000000.0,20.0,True,"https://drive.google.com/file/d/1-OnfGYbPk6rM7PfliZ_53Ak4q-TOOOEL/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-10-15,False,Adjudicación directa,2025,19615000.0,19.61,True,"https://drive.google.com/file/d/1UE4ZIvntyVgt_BX86b4EgGEGeH6r2QAD/view?usp=drive_link,"
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2023-12-15,False,Invitación a cuando menos tres personas,2025,13250582.5,13.25,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=227119&tipoArchivo=1
CHIAPAS,CHP - Sociedad Operadora del Aeropuerto Internacional Angel Albino Corzo,CONSTRUCTORA BARLE S.A. DE C.V.,CBA220225AL7,Definitivo,2025-12-12,2023-12-15,False,Invitación a cuando menos tres personas,2024,13250582.5,13.25,False,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=227119&tipoArchivo=1
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,9999316.0,10.0,True,https://drive.google.com/file/d/1_w_QMpPq89sIVSE32YYic0PJDBXQDsJS/view?usp=drive_link
YUCATÁN,YUC - Merida,"COMERCIO Y CONSTRUCCIÓN DE TABASCO, S.A. DE C.V.",CCT1808139U3,Definitivo,2025-12-12,2025-01-17,False,Licitación pública,2025,8969013.43,8.97,True,https://isla.merida.gob.mx/serviciosinternet/contratosobras/pdf/2VT24-FPCON-6152-034/2VT24-FPCON-6152-034_ContratoFirmado.docx
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2025-02-14,False,Licitación pública,2025,8199947.2,8.2,True,"https://drive.google.com/file/d/1mkgIQQ4U6ifWZk7HxgaqIaVzOJJhWbv7/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A de C.V,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Licitación pública,2025,4999948.0,5.0,True,"https://drive.google.com/file/d/10SDsHmZ8XZ9DUUu2DO6fIKATyfgsUDSH/view?usp=drive_link,"
QUINTANA ROO,ROO - INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA  DEL ESTADO DE QUINTANA ROO,"PREYCOT, S.A. DE C.V.",PRE160106R66,Definitivo,2026-04-24,2024-08-01,False,Invitación a cuando menos tres personas,2024,4716956.26,4.72,True,http://sistemas.ifeqroo.qroo.gob.mx/transparencia/xxviiia/2024/12/contrato042.2024.pdf
QUINTANA ROO,ROO - INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA  DEL ESTADO DE QUINTANA ROO,"PREYCOT, S.A. DE C.V.",PRE160106R66,Definitivo,2026-04-24,2024-08-01,False,Invitación a cuando menos tres personas,2024,4668732.04,4.67,True,http://sistemas.ifeqroo.qroo.gob.mx/transparencia/xxviiia/2024/12/contrato041.2024.pdf
