estado_comprador,id_entidad,id_sujeto,sujeto_obligado,ejercicio,tipo_procedimiento,materia,caracter,expediente,num_contrato,proveedor,rfc_norm,fecha_efectiva,importe,tipo_monto,moneda,direccion_anuncio,url_fallo,municipio_proveedor,cp_proveedor,origen_recursos,convenio_modif,descripcion,objeto,fecha_actualizacion,formato,rfc_valido,es_persona_moral,fecha_constitucion_rfc,nombre_sfp,multa,institucion_sancionadora,inicio,fin,plazo_txt,durante_inhabilitacion
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,27426,,Gen Industrial S.A. de C.V.,GIN811027SS4,,11600.0,con_impuestos,Peso,,,Tizayuca,43804,Estatales,No,Servicios de limpieza y manejo de desechos,Servicios de limpieza y manejo de desechos,2026-01-15,59483,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
JALISCO,14,2580,JAL - Instituto de la Infraestructura Fisica Educativa del Estado de Jalisco,2024,Licitación pública,Adquisiciones,Nacional,LPL00396-0042/2024,E-B-REMBAS22-LPL00396-0042/2024,GRUPO ARAUJO SALCIDO SA DE CV,GAS1203017R2,2024-07-15,132994.0,con_impuestos,NACIONAL,https://sinfejal.jalisco.gob.mx/sige/obtenerDocumentoInLineConEncabezado/1697553,https://sinfejal.jalisco.gob.mx/sige/obtenerDocumentoInLineConEncabezado/1648150,GUADALAJARA,44160,Estatales,No,"ADQUISICIÓN DE EQUIPAMIENTO DE SILLAS, MESAS, PIZARRÓN Y GABINETE METÁLICO, SOLICITADO POR LA SECRETARÍA DE EDUCACIÓN DEL ESTADO DE JALISCO PARA ESCUELAS DE NIVEL BÁSICO",ADQUISICION,2024-09-19,59501,True,True,2012-03-01,"GRUPO ARAUJO SALCIDO, S.A. DE C.V.","{'monto': '19935', 'monto_cf': '              19,935.00'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",,,,False
CIUDAD DE MÉXICO,9,1737,CMX - Sistema de Transporte Colectivo,2025,Invitación a cuando menos tres personas,Adquisiciones,Nacional,STC-GACS-CCP-BL-013-2025,STC-GACS-CCP-BL-013-2025,GRUPO INDUSTRIAL ASAD S.A. DE C.V.,GIA120130MA8,2025-07-11,2264562.07,con_impuestos,Nacional,https://www.transparencia.cdmx.gob.mx/storage/app/uploads/public/699/34c/06c/69934c06c6882424706337.pdf,https://www.transparencia.cdmx.gob.mx/storage/app/uploads/public/699/34c/06c/69934c06c6882424706337.pdf,Información en Proceso de Ser Generada,7780,Federales,No,VESTUARIO PARA PLAN VACACIONAL,VESTUARIO PARA PLAN VACAIONAL,2026-02-24,59413,True,True,2012-01-30,"GRUPO INDUSTRIAL ASAD, S.A. DE C.V.","{'monto': '791980', 'monto_cf': '             791,980.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-02-11,2027-05-11,"1 año, 3 meses",False
HIDALGO,13,2131,HID - Poder Ejecutivo del Estado de Hidalgo,2025,Adjudicación directa,Servicios,Nacional,477,,GEN Industrial S.A. de C.V.,GIN811027SS4,,6380.0,con_impuestos,Peso,,,Monterrey,64650,Federales,No,"Pago de servicio, recolección y transporte de RPBI, correspondiente al mes de septiembre",,2025-10-10,59483,True,True,1981-10-27,"GEN INDUSTRIAL, S.A. DE C.V.","{'monto': '157685', 'monto_cf': '             157,685.00'}","{'nombre': 'Hospital General Dr. Manuel Gea Gonzalez', 'clave_dependencia': '12195'}",2025-12-31,2025-03-31,3 meses,False
VERACRUZ,30,5403,VER - Secretaria de Infraestructura y Obras Publicas,2025,Licitación pública,Obra pública,Nacional,LPE-112T00000-6000-021-2025,SIOP-OP-PE-039/2025-DGCOP,"QUALITY ROADS DE MEXICO, S.A. DE C.V.",QRM2005053A0,2025-09-01,71649704.57,con_impuestos,MONEDA NACIONAL,https://drive.google.com/drive/folders/1_0LKzTwohpDxBQqA49Q6nL9y7QZo4Vri?usp=sharing,https://drive.google.com/drive/folders/1_0LKzTwohpDxBQqA49Q6nL9y7QZo4Vri?usp=sharing,XALAPA,91045,Estatales,No,"CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO SEGUNDA ETAPA EN CAMINO DEL TRAMO TECAMALUCAN - TEPAXAPA DEL KM 0+000 AL KM 7+590, EN LOCALIDADES VARIAS, MUNICIPIO DE SOLEDAD ATZOMPA, DEL ESTADO DE VERACRUZ DE IGNACIO DE LA LLAVE","CONSTRUCCIÓN DE PAVIMENTO HIDRÁULICO SEGUNDA ETAPA EN CAMINO DEL TRAMO TECAMALUCAN - TEPAXAPA DEL KM 0+000 AL KM 7+590, EN LOCALIDADES VARIAS, MUNICIPIO DE SOLEDAD ATZOMPA, DEL ESTADO DE VERACRUZ DE IGNACIO DE LA LLAVE",2025-12-31,59828,True,True,2020-05-05,"QUALITY ROADS DE MÉXICO, S.A. DE C.V.","{'monto': '977130', 'monto_cf': '             977,130.00'}","{'nombre': 'Secretaría Anticorrupción y Buen Gobierno', 'clave_dependencia': '00027'}",2026-01-21,2027-07-21,"1 año, 6 meses",False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2024,Adjudicación directa,Servicios,Nacional,19310,,VILMOY SA DE CV,VIL050518596,,,techo_maximo,Pesos,,,Pachuca de Soto,42060,Estatales,,,"Estudio mensual de calidad del agua que se utiliza en los Laboratorios del Programa Educativo de Gastronomía, correspondiente al mes de diciembre del 2024, bajo los parámetros que marca el Distintivo H en las siguientes Normas: NOM-092-SSA1-1994 Mesofílic",2025-01-31,59483,True,True,2005-05-18,"VILMOY, S.A. DE C.V.","{'monto': '130959.5', 'monto_cf': '             130,959.50'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2024-09-11,2025-03-11,3 meses,False
AGUASCALIENTES,1,499,AGU - INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2025,Adjudicación directa,Servicios,Nacional,ISSEA-CAAS-ROR-08-25,1044-25,"“SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.”",SHD080618IA7,2025-08-13,3240156.46,con_impuestos,PESO MEXICANO,https://www.issea.gob.mx/DocsTranspa/DirJuridica/1044%20siemens.pdf,https://,MIGUEL HIDALGO,11560,Estatales,No,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE RESONANCIA MAGNÉTICA DE LA MARCA SIEMENS,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE RESONANCIA MAGNÉTICA DE LA MARCA SIEMENS,2025-10-02,59240,True,True,2008-06-18,"SIEMENS HEALTHCARE DIAGNOSTICS, S. DE R.L. DE C.V.","{'monto': '566175', 'monto_cf': '             566,175.00'}","{'nombre': 'Instituto de Seguridad y Servicios Sociales de los Trabajadores del  Estado', 'clave_dependencia': '00637'}",,,,False
JALISCO,14,20424,JAL - Secretaria de Administracion,2025,Adjudicación directa,Adquisiciones,Nacional,AD 029/2025,,MAXI SERVICIOS DE MÉXICO S.A. DE C.V.,MSM0705117N6,,,techo_maximo,,https://compras.jalisco.gob.mx/requisition/view/2819,https://compras.jalisco.gob.mx/requisition/view/2819,TORREON,27000,Estatales,No,SERVICIO INTEGRAL DE TRASLADO DE VALORES,,2025-06-12,59501,True,True,2007-05-11,"MAXI SERVICIOS DE MÉXICO, S.A. DE C.V.","{'monto': '619656.8', 'monto_cf': '             619,656.80'}","{'nombre': 'Instituto Mexicano del Seguro Social', 'clave_dependencia': '00641'}",2025-09-13,2026-10-13,"1 año, 1 mes",False
CAMPECHE,4,842,"CAM - Secretaria de Administracion, Finanzas y Planeacion del Poder Ejecutivo del Estado de Campeche",2025,Adjudicación directa,Adquisiciones,Nacional,SAFIN03-03SAFIN-23DA-SAE-1.1-00178-2025,OC-0237-2025,Irving Yadir Aguilar Gonzalez,AUGI8711206B7,2025-10-22,4881.28,con_impuestos,Peso,https://transparencia.safin.campeche.gob.mx/65-26/2025/4to-trimestre?download=51761:oc-0237-2025,https://transparencia.safin.campeche.gob.mx/65-26/2025/4to-trimestre?download=51682:tarjeta-informativa-oc-0237-2025,Campeche,24040,Federales,No,Refacciones y Accesorios menores de equipo de cómputo y tecnologías de la información,Refacciones y Accesorios menores de equipo de cómputo y tecnologías de la información,2026-01-29,59302,True,False,,IRVING YADIR AGUILAR GONZALEZ,"{'monto': '78885', 'monto_cf': '              78,885.00'}","{'nombre': 'Secretaría de Medio Ambiente y Recursos Naturales', 'clave_dependencia': '00016'}",2009-11-23,2010-02-23,3 meses,False
HIDALGO,13,14669,HID - Universidad Autonoma del Estado de Hidalgo,2024,Adjudicación directa,Servicios,Nacional,444,DGJ/ADJDIR/19-24,Gelmar Grand Services SA de CV,GGS200902FD8,2024-01-11,183744.0,con_impuestos,Peso,,,Iztapalapa,9440,Federales,No,,Servicios de limpieza integral e higiene para el Hospital Veterinario y los edificios L y M del Instituto de Ciencias Agropecuarias.,,59483,True,True,2020-09-02,"GELMAR GRAND SERVICES, S.A. DE C.V.","{'monto': '158396', 'monto_cf': '             158,396.00'}","{'nombre': 'Secretaría de Medio Ambiente y Recursos Naturales', 'clave_dependencia': '00016'}",2026-03-09,2026-06-09,3 meses,False
