estado_comprador,sujeto_obligado,proveedor,rfc,constituida,fecha_contrato,edad_dias,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,direccion_anuncio
QUINTANA ROO,ROO - COMISION DE AGUA POTABLE Y ALCANTARILLADO DEL ESTADO DE QUINTANA ROO,"CUUIL NEGOCIOS, S.A. DE C.V.",CNE240716JE8,2024-07-16,2025-04-11,269,Licitación pública,2025,151188042.0,151.19,https://drive.google.com/file/d/1IIgnVZJyNP-BzUMgW7mazP05RCesuaPm/view?usp=sharing
CHIAPAS,CHP - Comision de Caminos e Infraestructura Hidraulica,"KARDIAN CONSTRUCTORA Y OBRA CIVIL, S.A. DE C.V.",KCO250522MNA,2025-05-22,2025-10-27,158,Adjudicación directa,2025,65853334.01,65.85,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=308676&tipoArchivo=1
AGUASCALIENTES,AGU - INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,"ACB IFG, S.A. DE C.V.",AIF250515KB0,2025-05-15,2025-10-06,144,Licitación pública,2025,35008800.0,35.01,https://www.issea.gob.mx/DocsTranspa/DirJuridica/1421%20acb.pdf
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,"Soluciones Especializadas Salinas, S. A. de C. V.",SES2502284F3,2025-02-28,2025-12-31,306,Licitación pública,2025,28968000.0,28.97,http://transparenciadocs.hidalgo.gob.mx/dependencias/OMayor/2026/DGCP/Primer_Trimestre/XXVIII/588-2025.pdf
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,"Soluciones Especializadas Salinas, S. A. de C. V.",SES2502284F3,2025-02-28,2025-12-31,306,Licitación pública,2025,26069994.0,26.07,http://transparenciadocs.hidalgo.gob.mx/dependencias/OMayor/2026/DGCP/Primer_Trimestre/XXVIII/596-2025.pdf
OAXACA,OAX - SISTEMA DE TRANSPORTE COLECTIVO METROPOLITANO CITYBUS OAXACA,"Kenbak, S.A. de C.V.",KEN230730H57,2023-07-30,2024-06-14,320,Licitación pública,2024,25979515.44,25.98,https://www.oaxaca.gob.mx/citybus/wp-content/uploads/sites/94/2024/12/STCMCO-CIDCF23-ADQ001-2024.pdf
CHIAPAS,CHP - Secretaria de Infraestructura (Anteriormente Secretaria de Obras Publicas- SOP),"URBANIZACION Y CONSTRUCCIONES BACAP, S.A. DE C.V. EN PARTICIPACION CONJUNTA",UCB2308316H9,2023-08-31,2024-04-26,239,Licitación pública,2024,20243169.69,20.24,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=249552&tipoArchivo=1
CHIAPAS,CHP - Comision de Caminos e Infraestructura Hidraulica,"SAGA PAVIMENTACION Y CONSTRUCCION, S.A. DE C.V.",SPC250404L95,2025-04-04,2025-11-20,230,Adjudicación directa,2025,19517208.08,19.52,https://www.sistemas.chiapas.gob.mx/TransparenciaV3/Descargas/DescargarArchivo/?idArchivo=308693&tipoArchivo=1
HIDALGO,HID - Poder Ejecutivo del Estado de Hidalgo,"Soluciones Especializadas Salinas, S. A. de C. V.",SES2502284F3,2025-02-28,2025-12-31,306,Licitación pública,2025,18809324.64,18.81,http://transparenciadocs.hidalgo.gob.mx/dependencias/OMayor/2026/DGCP/Primer_Trimestre/XXVIII/582-2025.pdf
CHIAPAS,CHP - Secretaria de Infraestructura (Anteriormente Secretaria de Obras Publicas- SOP),"ARLUK DISEÑO E INGENIERIA, S.A. DE C.V.",ADI2312057D4,2023-12-05,2024-07-22,230,Licitación pública,2024,17040452.95,17.04,
