institucion,umbral,bajo,sobre,exacto,n_ventana,razon,p_binomial,q_fdr05,pct_exacto
SECRETARÍA DE LAS MUJERES,100000,109,6,27,115,18.17,0.0,True,19.0
SECRETARÍA ANTICORRUPCIÓN Y BUEN GOBIERNO,300000,197,52,0,249,3.79,0.0,True,0.0
PROCURADURIA AGRARIA,100000,77,2,0,79,38.5,0.0,True,0.0
XE-IPN CANAL 11,100000,334,187,13,521,1.79,0.0,True,2.4
FIDEICOMISO UNIVERSIDAD MARÍTIMA Y PORTUARIA DE MÉXICO,300000,61,13,1,74,4.69,0.0,True,1.3
INSTITUTO NACIONAL DE REHABILITACIÓN LUIS GUILLERMO IBARRA IBARRA,750000,46,9,0,55,5.11,0.0,True,0.0
INSTITUTO NACIONAL DE CARDIOLOGÍA IGNACIO CHÁVEZ,750000,59,16,3,75,3.69,0.0,True,3.8
"COMPAÑÍA OPERADORA DEL CENTRO CULTURAL Y TURISTICO DE TIJUANA, S.A. DE C.V.",150000,50,12,1,62,4.17,1e-06,True,1.6
INSTITUTO MEXICANO DEL SEGURO SOCIAL,300000,825,660,30,1485,1.25,1e-05,True,2.0
"SECRETARIA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",400000,26,5,0,31,5.2,9.6e-05,True,0.0
INSTITUTO MEXICANO DEL SEGURO SOCIAL,100000,958,805,25,1763,1.19,0.000146,True,1.4
INSTITUTO MEXICANO DE LA RADIO,100000,27,7,0,34,3.86,0.000411,True,0.0
SISTEMA PUBLICO DE RADIODIFUSION DEL ESTADO MEXICANO,400000,49,21,0,70,2.33,0.000547,True,0.0
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,100000,31,10,7,41,3.1,0.000725,True,14.6
SECRETARÍA ANTICORRUPCIÓN Y BUEN GOBIERNO,50000,49,23,6,72,2.13,0.001471,True,7.7
COMISION NACIONAL FORESTAL,500000,35,14,0,49,2.5,0.001901,True,0.0
FIDEICOMISO UNIVERSIDAD MARÍTIMA Y PORTUARIA DE MÉXICO,200000,33,13,0,46,2.54,0.002267,True,0.0
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",300000,643,546,5,1189,1.18,0.002673,True,0.4
COMISION NACIONAL FORESTAL,100000,30,12,1,42,2.5,0.003958,False,2.3
SECRETARÍA DE SALUD,400000,37,17,1,54,2.18,0.004537,False,1.8
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,100000,78,49,1,127,1.59,0.00633,False,0.8
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,150000,27,11,14,38,2.45,0.006926,False,26.9
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",5000000,64,40,0,104,1.6,0.011823,False,0.0
FONDO DE CULTURA ECONOMICA,150000,27,12,0,39,2.25,0.011851,False,0.0
INSTITUTO NACIONAL DE PSIQUIATRÍA RAMÓN DE LA FUENTE MUÑIZ,200000,29,14,0,43,2.07,0.01577,False,0.0
"SECRETARIA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",200000,71,47,0,118,1.51,0.016894,False,0.0
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",3000000,99,72,4,171,1.38,0.023232,False,2.3
SECRETARIA DE CULTURA,300000,156,122,6,278,1.28,0.023799,False,2.1
INSTITUTO DE ADMINISTRACION Y AVALUOS DE BIENES NACIONALES,50000,43,26,43,69,1.65,0.026645,False,38.4
SECRETARIA DE BIENESTAR,200000,39,23,5,62,1.7,0.027949,False,7.5
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,400000,124,95,18,219,1.31,0.029117,False,7.6
INSTITUTO MEXICANO DEL PETROLEO,300000,24,12,2,36,2.0,0.032623,False,5.3
SECRETARÍA ANTICORRUPCIÓN Y BUEN GOBIERNO,150000,141,111,0,252,1.27,0.033756,False,0.0
SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,150000,59,40,5,99,1.48,0.03495,False,4.8
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,300000,21,10,0,31,2.1,0.035378,False,0.0
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,200000,169,138,23,307,1.22,0.043348,False,7.0
INSTITUTO MEXICANO DEL PETROLEO,400000,27,15,1,42,1.8,0.044215,False,2.3
SECRETARIA DE MARINA,100000,47,31,1,78,1.52,0.044391,False,1.3
INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN SALVADOR ZUBIRÁN,2000000,20,10,0,30,2.0,0.049369,False,0.0
INSTITUTO MEXICANO DEL SEGURO SOCIAL,500000,687,630,13,1317,1.09,0.061386,False,1.0
SECRETARIA DE MARINA,500000,63,46,3,109,1.37,0.062502,False,2.7
