sujeto_obligado,n_contratos,mad,banda_nigrini,mad_segundo_digito,banda_segundo_digito,chi2,p_value,no_conforme_fdr05
"CMX - Secretaria de Educacion, Ciencia, Tecnologia e Innovacion",411,0.1181,NO CONFORME,0.0939,NO CONFORME,720.2,3.221187650278772e-150,True
PUE - Secretaria de las Mujeres,213,0.0948,NO CONFORME,0.0888,NO CONFORME,189.8,8.767075280825588e-37,True
CMX - Tribunal Superior de Justicia de la Ciudad de Mexico,245,0.0838,NO CONFORME,0.0638,NO CONFORME,453.1,8.184606895416878e-93,True
VER - Colegio de Estudios Cientificos y Tecnologicos del Estado de Veracruz,577,0.082,NO CONFORME,0.0454,NO CONFORME,484.2,1.6990036131899386e-99,True
SLP - COORDINACION ESTATAL PARA EL FORTALECIMIENTO INSTITUCIONAL DE LOS MUNICIPIOS,259,0.0591,NO CONFORME,0.0444,NO CONFORME,226.9,1.3582016738870297e-44,True
CHP - Comision de Caminos e Infraestructura Hidraulica,273,0.0555,NO CONFORME,0.0224,NO CONFORME,82.5,1.5261883231676764e-14,True
OAX - INSTITUTO OAXAQUE?O CONSTRUCTOR DE INFRAESTRUCTURA EDUCATIVA,538,0.0547,NO CONFORME,0.0374,NO CONFORME,297.8,1.1908975388940152e-59,True
SIN - AY00101-Comision Municipal de Desarrollo de Centros Poblados del Ayto. de Ahome,217,0.053,NO CONFORME,0.0198,NO CONFORME,61.1,2.781587633604479e-10,True
JAL - Instituto de la Infraestructura Fisica Educativa del Estado de Jalisco,219,0.0478,NO CONFORME,0.0212,NO CONFORME,47.9,1.0370136340471503e-07,True
AGU - MUNICIPIO DE JESUS MARIA,234,0.0433,NO CONFORME,0.0221,NO CONFORME,60.0,4.699239183233243e-10,True
"TAB - H. AYUNTAMIENTO DEL MUNICIPIO DE MACUSPANA, TABASCO",203,0.0431,NO CONFORME,0.0142,NO CONFORME,36.0,1.7200666770472444e-05,True
CHP - Ayuntamiento de San Cristobal de las Casas,260,0.0431,NO CONFORME,0.0169,NO CONFORME,48.8,6.989550596862458e-08,True
TAB - H. CONGRESO DEL ESTADO DE TABASCO,380,0.043,NO CONFORME,0.0216,NO CONFORME,85.1,4.473840368260577e-15,True
GRO - Comision de Infraestructura Carretera y Aeroportuaria ( CICAEG ),307,0.0425,NO CONFORME,0.0246,NO CONFORME,156.5,8.759747156412395e-30,True
GUA - Tribunal de Justicia Administrativa,239,0.0418,NO CONFORME,0.0189,NO CONFORME,62.0,1.897631200093214e-10,True
SIN - AY00700-Ayuntamiento de Culiacan,249,0.0418,NO CONFORME,0.0252,NO CONFORME,43.5,7.000902661014015e-07,True
TAM - Comision Municipal de Agua Potable y Alcantarillado del municipio de Reynosa.,922,0.0392,NO CONFORME,0.0119,marginal,194.1,1.1340829759684254e-37,True
SIN - PJ00100-Supremo Tribunal de Justicia del Estado de Sinaloa,236,0.0389,NO CONFORME,0.0265,NO CONFORME,52.7,1.2550552138785667e-08,True
CHP - Instituto de la Infraestructura Fisica Educativa del Estado de Chiapas,763,0.0389,NO CONFORME,0.0124,NO CONFORME,134.0,4.103894896482239e-25,True
VER - Instituto de Espacios Educativos del Estado de Veracruz,313,0.0365,NO CONFORME,0.0245,NO CONFORME,51.4,2.1568627000312416e-08,True
JAL - Comision de Arbitraje Medico del Estado de Jalisco,424,0.0364,NO CONFORME,0.0335,NO CONFORME,94.9,4.7962919507333634e-17,True
TAM - Reynosa,212,0.0357,NO CONFORME,0.0188,NO CONFORME,30.7,0.000157882138203643,True
CMX - Instituto de Vivienda de la Ciudad de Mexico,538,0.0348,NO CONFORME,0.0284,NO CONFORME,63.7,8.916084734437686e-11,True
NLE - Instituto Estatal Electoral y de Participacion Ciudadana,249,0.0341,NO CONFORME,0.0298,NO CONFORME,29.8,0.00022965194239701742,True
CHP - Secretaria-Instituto de Salud,505,0.0339,NO CONFORME,0.0149,NO CONFORME,62.7,1.378504262606302e-10,True
CMX - Secretaria de Obras y Servicios,364,0.0334,NO CONFORME,0.0149,NO CONFORME,72.1,1.8537817362155767e-12,True
BCN - Ayuntamiento de Mexicali,223,0.0328,NO CONFORME,0.0221,NO CONFORME,28.5,0.0003944088429437855,True
"CMX - Corporacion Mexicana de Impresion, S.A. de C.V.",373,0.0328,NO CONFORME,0.0129,NO CONFORME,43.9,6.06798516641396e-07,True
ZAC - Auditoria Superior del Estado de Zacatecas,2166,0.032,NO CONFORME,0.0128,NO CONFORME,219.6,4.792405016755457e-43,True
MIC - SECRETARIA DE GOBIERNO,289,0.0317,NO CONFORME,0.0313,NO CONFORME,42.2,1.2185039548367741e-06,True
SLP - MUNICIPIO DE TAMAZUNCHALE,224,0.0312,NO CONFORME,0.0666,NO CONFORME,24.9,0.0016071095163783175,True
MIC - Coordinacion de Planeacion para el Desarrollo del Estado de Michoacan,359,0.0311,NO CONFORME,0.0183,NO CONFORME,61.1,2.864508663487827e-10,True
MIC - Direccion de Pensiones Civiles del Estado,418,0.0305,NO CONFORME,0.0176,NO CONFORME,58.6,8.926904465682127e-10,True
YUC - Secretaria De La Cultura Y Las Artes,387,0.0302,NO CONFORME,0.0495,NO CONFORME,33.2,5.786239815317899e-05,True
AGU - INSTITUTO DE INFRAESTRUCTURA FISICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES,249,0.0299,NO CONFORME,0.0247,NO CONFORME,32.3,8.244081353005032e-05,True
JAL - Consejo Estatal para el Fomento Deportivo del Estado de Jalisco,414,0.0297,NO CONFORME,0.0137,NO CONFORME,43.3,7.640158625944532e-07,True
BCN - Comision Estatal de Servicios Publicos de Mexicali,223,0.0296,NO CONFORME,0.016,NO CONFORME,17.4,0.025765872940283405,True
VER - Instituto Veracruzano de Educacion para los Adultos,393,0.0296,NO CONFORME,0.0165,NO CONFORME,38.1,7.209901522534231e-06,True
NAY - Secretaria de Administracion y Finanzas,244,0.0292,NO CONFORME,0.016,NO CONFORME,23.4,0.002854279320078742,True
"GRO - Comision de Agua Potable, Alcantarillado y Saneamiento del Estado de Guerrero (CAPASEG)",228,0.0285,NO CONFORME,0.0242,NO CONFORME,29.3,0.00028330403891590344,True
TAM - Comision Municipal de Agua Potable y Alcantarillado de la Zona Conurbada de la desembocadura del Rio Panuco en el Estado de Tamaulipas,249,0.0277,NO CONFORME,0.0159,NO CONFORME,22.6,0.003943960201548695,True
QUE - Poder Legislativo del Estado de Queretaro,525,0.0271,NO CONFORME,0.0064,conforme,39.8,3.489275176128541e-06,True
VER - Ayuntamiento de Boca del Rio,312,0.0271,NO CONFORME,0.0554,NO CONFORME,21.7,0.0055333705930774345,True
